Time,1,2.5,5,10,50
5.00E-05,0.568966868,0.666523067,0.619056944,0.718258009,0.692723428
1.00E-04,0.578601087,0.660883534,0.614396497,0.712892619,0.692880087
1.50E-04,0.591760018,0.66981281,0.614631483,0.707605557,0.681875158
2.13E-04,0.607112104,0.677567184,0.60887446,0.705569064,0.666366432
2.63E-04,0.615453929,0.664447428,0.608287014,0.713323436,0.653794964
3.13E-04,0.613339107,0.656066451,0.613887396,0.708937133,0.655283182
3.63E-04,0.604292352,0.648664561,0.618547854,0.708114706,0.654539081
4.13E-04,0.590585143,0.64678472,0.612399195,0.709289616,0.652894221
4.75E-04,0.584123178,0.646863054,0.591995035,0.696248188,0.662450115
5.25E-04,0.578953606,0.639931126,0.592073368,0.700125377,0.661118563
5.75E-04,0.582713305,0.644630748,0.585650565,0.696522344,0.661118568
6.25E-04,0.593757408,0.643377523,0.589566917,0.697305619,0.664094998
6.88E-04,0.599083647,0.635349019,0.595284791,0.678076363,0.667423899
7.38E-04,0.611263492,0.628926216,0.593444113,0.679290436,0.664447481
7.88E-04,0.614474902,0.605232323,0.596929668,0.679329605,0.662802622
8.38E-04,0.611146012,0.602882521,0.598104578,0.667619734,0.65097526
9.00E-04,0.606994692,0.596303065,0.59003691,0.66151024,0.627673003
9.50E-04,0.594736532,0.603156678,0.58725631,0.647489724,0.624422441
0.001,0.569045302,0.611106867,0.584945671,0.646158172,0.638286314
0.00106,0.563914895,0.604566575,0.583183322,0.642594303,0.623835002
0.00111,0.568614517,0.590820204,0.581420971,0.628808768,0.629474547
0.00116,0.580050256,0.594070777,0.58991945,0.616707262,0.621132734
0.00123,0.59559816,0.587687139,0.585611475,0.588274591,0.622111828
0.00128,0.597399685,0.579110345,0.576173085,0.584279923,0.613260889
0.00133,0.587804641,0.582400082,0.567204656,0.596303113,0.620349483
0.00139,0.554124065,0.589645331,0.55553395,0.606446459,0.630766973
0.00144,0.559215322,0.590193625,0.538458683,0.608678782,0.605389051
0.0015,0.551970087,0.589449526,0.538184546,0.595637354,0.588822911
0.00155,0.543706601,0.575781481,0.546683024,0.586590599,0.593953331
0.0016,0.554163253,0.576329776,0.548367059,0.586708095,0.59512824
0.00166,0.554045769,0.583457534,0.564698233,0.589253727,0.582008486
0.00171,0.550834371,0.57668226,0.567674662,0.570102797,0.571356028
0.00178,0.542923357,0.561956803,0.560781899,0.548445406,0.576251469
0.00183,0.520913494,0.562779241,0.559019548,0.555416509,0.578248811
0.00189,0.517545442,0.559019555,0.544294091,0.57104274,0.58561155
0.00194,0.526866354,0.55686557,0.536304749,0.570846928,0.585337412
0.00199,0.530900196,0.551500181,0.540103611,0.560664432,0.569867847
0.00205,0.521187663,0.542179282,0.521814279,0.559528699,0.562348469
0.0021,0.531370171,0.547936318,0.521070179,0.545351529,0.575859871
0.00216,0.522440907,0.559137077,0.527884629,0.539007054,0.568732127
0.00221,0.516448902,0.528667904,0.526239769,0.531252693,0.535834819
0.00228,0.507597965,0.524751565,0.526670574,0.546643943,0.524124949
0.00234,0.505404818,0.522558417,0.512454243,0.555142423,0.544803267
0.00239,0.488212061,0.521775154,0.514138277,0.540886926,0.536696435
0.00245,0.492794194,0.50516985,0.525652344,0.521383526,0.517780487
0.0025,0.487232987,0.494674046,0.51887707,0.520051974,0.506148943
